Herd_Year,Parity_conception_interval,Calving_season,No_calvings,Tournament_within_WC,Herd_Year(fighting_ability),Age_class,Weight_category_WC,Body_weight,Animal,Fighting_ability,Fat,Protein,Milk
57,7,3,4,0,0,0,0,0,97,0,9.8,10.3,32.27
59,4,4,5,0,0,0,0,0,97,0,10.4,12.1,37.4
4139,0,4,1,0,0,0,0,0,98,0,8.2,8.8,27.54
4139,4,3,2,0,0,0,0,0,98,0,10.4,9.3,27.24
4140,4,3,3,0,0,0,0,0,98,0,8.2,7.7,22.13
4141,6,2,4,0,0,0,0,0,98,0,11.2,10.1,30.26
4139,0,5,1,0,0,0,0,0,99,0,9.1,9.1,28.04
4140,0,4,2,0,0,0,0,0,99,0,12.1,11.6,35.3
4140,4,3,3,0,0,0,0,0,99,0,10.3,9.6,27.29
4141,7,2,4,0,0,0,0,0,99,0,12.7,12,35.95
4142,3,3,5,0,0,0,0,0,99,0,10.3,10.4,31.35
3014,4,3,2,0,0,0,0,0,100,0,8.6,7.7,24.2
3015,5,2,3,0,0,0,0,0,100,0,7.8,7.5,22.42
2985,8,2,1,0,0,0,0,0,101,0,6.5,5.4,17.05
2986,7,3,2,0,0,0,0,0,101,0,13.6,11.2,37.07
3015,10,4,3,0,0,0,0,0,101,0,15.8,11.8,35.72
3016,3,5,4,0,0,0,0,0,101,0,13.2,10.5,32.63
3017,7,5,5,0,0,0,0,0,101,0,12.9,10.7,31.81
2587,5,2,4,0,0,0,0,0,102,0,13.1,12.9,37.94
2588,9,2,5,0,0,0,0,0,102,0,12.9,12.8,37.78
1781,5,4,4,0,0,0,0,0,103,0,13.6,11.2,32.41
3283,2,4,2,0,0,0,0,0,104,0,6.1,7.5,20.6
3283,4,2,3,0,0,0,0,0,104,0,5.9,6.9,18.48
3284,10,2,4,0,0,0,0,0,104,0,4.5,4.9,13.6
3286,0,4,5,0,0,0,0,0,104,0,6.6,7.9,21.6
1733,5,2,3,0,0,0,0,0,105,0,7.1,7.5,21.7
1734,6,2,4,0,0,0,0,0,105,0,7.4,7.5,21.77
246,6,2,3,0,0,0,0,0,106,0,10.9,10,26.28
247,10,2,5,0,0,0,0,0,106,0,16.7,14.9,42.71
1076,2,3,2,0,0,0,0,0,107,0,9.8,10.4,30.5
1077,6,2,3,0,0,0,0,0,107,0,7.3,10,28.62
1078,5,2,4,0,0,0,0,0,107,0,10,13,35.74
1079,8,2,5,0,0,0,0,0,107,0,7.4,10.8,29.87
2989,5,3,1,0,0,0,0,0,108,0,8.7,7.7,22.64
2990,5,3,2,0,0,0,0,0,108,0,16,12.4,37.01
2991,7,3,3,0,0,0,0,0,108,0,14.6,12.9,37.35
2010,4,4,4,0,0,0,0,0,108,0,14.2,12.2,38.07
2010,4,3,5,0,0,0,0,0,108,0,9.8,9.7,30.1
2989,7,2,1,0,0,0,0,0,109,0,7.5,8.4,24.16
2990,7,3,2,0,0,0,0,0,109,0,16.1,12.9,41.04
2992,4,4,3,0,0,0,0,0,109,0,5.7,6.5,16.5
1810,13,3,4,0,0,0,0,0,109,0,11.2,12.1,34.54
2989,5,2,1,0,0,0,0,0,110,0,8.5,10.3,29.04
2990,6,2,2,0,0,0,0,0,110,0,12.4,14.3,41.74
2991,4,3,3,0,0,0,0,0,110,0,13.2,13.6,40
3936,5,2,4,0,0,0,0,0,110,0,12.3,13.4,43.13
4464,5,2,5,0,0,0,0,0,110,0,11.6,14.1,44.74
2989,6,2,1,0,0,0,0,0,111,0,9,8.3,22.2
2990,5,3,2,0,0,0,0,0,111,0,15,11.4,33.84
2991,6,3,3,0,0,0,0,0,111,0,13.2,11.6,33.87
2992,5,3,4,0,0,0,0,0,111,0,14.6,11,35.42
2993,7,3,5,0,0,0,0,0,111,0,11,10,31.08
2934,6,2,2,0,0,0,0,0,112,0,11.6,10.7,36.28
2935,10,3,3,0,0,0,0,0,112,0,13.4,12.5,40.27
1514,4,4,2,0,0,0,0,0,113,0,9.1,7.7,22.12
1514,5,3,3,0,0,0,0,0,113,0,12.1,10.9,33.46
1515,6,3,4,0,0,0,0,0,113,0,11.9,10.3,31.87
1440,10,3,5,0,0,0,0,0,113,0,8.2,7.8,24.66
2985,7,2,1,0,0,0,0,0,114,0,5.1,4.3,12.08
2986,5,3,2,0,0,0,0,0,114,0,9,10,28.89
3015,8,2,4,0,0,0,0,0,114,0,12.5,9.6,27.71
3016,10,3,5,0,0,0,0,0,114,0,8.4,7.4,21.16
3452,0,5,3,0,0,0,0,0,115,0,8.1,8.2,22.73
2725,3,5,2,0,0,0,0,0,116,0,13.2,11.9,35.69
2726,6,4,3,0,0,0,0,0,116,0,12.8,12.7,35.18
2728,5,2,5,0,0,0,0,0,116,0,8.6,8.9,25.86
3392,3,4,3,0,0,0,0,0,117,0,10.9,10.9,30.81
3392,4,3,4,0,0,0,0,0,117,0,9.9,10.9,30.14
3393,4,2,5,0,0,0,0,0,117,0,6.5,8.3,21.26
3157,2,5,1,0,0,0,0,0,118,0,7,8.2,22.26
3157,7,3,2,0,0,0,0,0,118,0,8.2,7.9,22.71
4070,4,5,4,0,0,0,0,0,119,0,8.7,8.8,25.02
4071,4,5,5,0,0,0,0,0,119,0,8.2,8.5,23.38
414,5,2,2,0,0,0,0,0,120,0,9.9,10.5,27.69
415,5,2,3,0,0,0,0,0,120,0,11.3,11.1,30.02
3273,8,2,4,0,0,0,0,0,120,0,9.3,9.6,27.36
4477,5,2,5,0,0,0,0,0,121,0,8.5,7.6,22.38
2048,4,3,3,0,0,0,0,0,122,0,6.6,6.1,18.09
2049,3,2,4,0,0,0,0,0,122,0,5.7,5.9,16.52
1556,5,2,5,0,0,0,0,0,122,0,7.5,9.1,24.53
2064,6,3,3,0,0,0,0,0,123,0,13.3,12.2,36.67
3475,5,2,1,0,0,0,0,0,124,0,11,8.4,26.25
3476,5,2,2,0,0,0,0,0,124,0,10.5,8.8,28.11
3480,3,5,5,0,0,0,0,0,124,0,8.8,9.8,30.06
3475,8,2,1,0,0,0,0,0,125,0,10.6,9.8,31.52
3476,5,3,2,0,0,0,0,0,125,0,10.2,9.6,30.71
3477,7,2,3,0,0,0,0,0,125,0,12.5,12.4,39.3
3478,5,3,4,0,0,0,0,0,125,0,11.3,11.5,34.46
372,10,2,3,0,0,0,0,0,126,0,15,13,37.09
374,5,4,4,0,0,0,0,0,126,0,14.6,13.3,40.02
2879,6,2,1,0,0,0,0,0,127,0,9.6,9.7,29.3
2880,6,2,2,0,0,0,0,0,127,0,9.1,10.4,30.3
2881,5,3,4,0,0,0,0,0,127,0,9.2,10.4,31.58
2882,5,3,5,0,0,0,0,0,127,0,10.5,11.5,34.28
2246,8,2,1,0,0,0,0,0,128,0,7.1,6.9,20.72
2248,7,2,3,0,0,0,0,0,128,0,11.1,10.2,31.45
2249,9,3,4,0,0,0,0,0,128,0,10.7,10.2,30.6
2251,3,5,5,0,0,0,0,0,128,0,13.1,11.4,34.74
1712,4,3,2,0,0,0,0,0,129,0,7.7,7.4,21.88
1713,5,2,3,0,0,0,0,0,129,0,9.1,8.9,26.09
1714,7,2,4,0,0,0,0,0,129,0,10.2,9.3,27.71
2184,6,3,2,0,0,0,0,0,130,0,14.1,13.3,38.51
2185,7,3,3,0,0,0,0,0,130,0,11.5,10.8,33.82
2183,4,2,2,0,0,0,0,0,131,0,10.8,11,30.77
2186,6,2,4,0,0,0,0,0,131,0,11.5,11,31.88
3167,5,2,5,0,0,0,0,0,131,0,5.5,5.2,14.82
1091,5,2,1,0,0,0,0,0,132,0,4,3.6,10.44
1092,6,2,2,0,0,0,0,0,132,0,7,6.5,19.04
1095,10,3,4,0,0,0,0,0,132,0,6.8,6.6,19.85
1091,5,2,1,0,0,0,0,0,133,0,6.6,7.3,20.26
1091,5,2,1,0,0,0,0,0,134,0,8.5,8.4,23.73
1092,6,2,2,0,0,0,0,0,134,0,13,11.9,36.61
1094,6,4,3,0,0,0,0,0,134,0,13,12.1,38.37
1095,3,4,4,0,0,0,0,0,134,0,11,11.3,33.26
1095,6,3,5,0,0,0,0,0,134,0,11.5,11.2,34.01
92,7,2,1,0,0,0,0,0,135,0,5.7,5.6,16.08
3696,7,2,3,0,0,0,0,0,135,0,10.6,9.9,31.46
3715,8,4,4,0,0,0,0,0,135,0,12.1,10.5,33.67
3716,4,5,5,0,0,0,0,0,135,0,13.5,15,46.77
1597,5,2,4,0,0,0,0,0,136,0,11.2,11.4,33.63
1598,5,2,5,0,0,0,0,0,136,0,12.5,13.7,41.91
1307,5,2,2,0,0,0,0,0,137,0,13.3,12.2,39.16
1888,6,2,1,0,0,0,0,0,138,0,7.5,8,22.27
1889,5,2,2,0,0,0,0,0,138,0,13.6,12.6,34.86
1890,7,3,3,0,0,0,0,0,138,0,15.2,15.7,43.91
1891,7,1,4,0,0,0,0,0,138,0,17.8,16.5,48.91
1892,9,2,5,0,0,0,0,0,138,0,17.5,17.1,50.32
2973,6,2,1,0,0,0,0,0,139,0,8.2,8.3,23.96
2975,3,5,3,0,0,0,0,0,139,0,13.1,11,33.29
3882,3,4,2,0,0,0,0,0,140,0,9.2,9.4,25.29
3882,5,2,3,0,0,0,0,0,140,0,9.1,8.7,23.43
3883,6,3,4,0,0,0,0,0,140,0,9.7,9.6,26.36
1598,3,3,5,0,0,0,0,0,140,0,8.9,9.6,25.71
1599,6,2,5,0,0,0,0,0,140,0,12.5,13.6,36.3
2183,7,2,1,0,0,0,0,0,141,0,6.6,5.5,15.39
2184,7,3,2,0,0,0,0,0,141,0,7.9,7.3,20.53
2185,7,3,3,0,0,0,0,0,141,0,8.3,7.5,21.96
1599,5,2,5,0,0,0,0,0,141,0,10.6,10.2,28.25
4284,7,5,1,0,0,0,0,0,142,0,8,8.5,25.42
4285,6,5,2,0,0,0,0,0,142,0,11.2,8.5,27.84
4286,0,5,3,0,0,0,0,0,142,0,11.2,10.8,32.82
