Herd-Year-Classifier,Age_class_at_first_calving,Class_of_days_in_milk,Animal,Front_muscularity,Udder,Thorax_depth,Thinness,Fore_udder_attach,Rear_udder_attach,Udder_width
71,5,4,1147,2,2,3,3,2,2,2
72,4,5,1148,3,3,4,2,4,2,3
72,5,4,1149,2,3,3,2,2,2,2
72,6,3,1151,4,3,3,3,4,3,3
72,4,3,1152,3,3,3,2,3,3,3
72,3,4,1153,2,3,3,2,3,3,3
77,5,4,55,2,3,3,4,3,3,2
77,5,4,56,3,2,3,2,4,3,3
77,4,5,1004,3,3,4,2,2,2,3
77,7,1,18875,3,3,3,4,3,3,3
77,5,4,18876,2,3,3,3,3,3,3
124,6,3,258,3,3,3,3,3,3,3
124,4,5,259,2,3,3,3,3,3,3
124,2,5,758,3,2,3,3,3,2,2
125,3,5,1135,3,3,3,3,3,3,3
125,6,3,18854,3,3,4,3,3,4,3
126,4,5,260,1,2,3,2,2,2,1
126,4,4,533,3,3,3,3,2,3,3
126,5,3,1137,3,3,2,3,3,2,2
127,5,5,254,2,3,3,3,3,3,3
127,4,5,505,3,2,3,3,2,2,2
128,9,4,531,3,3,3,3,3,3,3
128,4,4,532,3,2,3,3,1,2,3
128,7,2,19104,3,3,3,3,3,2,2
270,3,4,603,2,3,2,2,3,3,3
285,6,4,41,4,3,2,3,3,3,3
285,5,4,178,2,3,2,3,2,3,3
286,4,5,193,3,2,3,2,1,2,2
286,4,6,194,4,2,3,3,2,2,2
286,4,6,195,4,2,3,2,1,2,2
375,5,4,78,3,2,3,2,2,2,2
375,4,5,103,4,2,3,3,2,2,2
375,4,6,104,3,2,3,3,1,2,2
375,4,4,1075,4,2,4,2,1,2,2
375,5,4,18773,4,3,3,3,3,2,2
375,4,4,18857,2,3,3,3,3,3,2
375,4,4,18868,4,2,3,3,1,2,2
375,3,2,19056,3,3,4,4,3,3,3
101,4,5,530,3,1,3,3,1,1,1
101,1,3,18793,3,2,3,3,2,3,2
101,9,5,18794,1,3,3,2,3,3,3
107,6,4,152,3,3,3,3,2,2,2
107,5,5,165,4,2,5,3,2,2,2
107,5,4,18774,2,3,2,2,1,2,2
107,4,5,18775,2,2,3,2,3,2,2
139,6,3,177,3,3,3,3,3,3,3
139,3,5,879,3,3,3,3,3,2,2
139,4,5,19016,3,4,3,5,3,4,4
139,5,5,19017,4,3,2,3,3,4,3
